Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
10/20/2021,322,5,8,67,88,52,41,31,27,11,5,0,146,174,2,70,17,73,102,18,42,0,0,0,1,2,0,1,1,0,1,4,0,2,0,2,1,0,0,0,0,2,0,2,3,1,0,0,5,3,0,2,0,5,0,0,1
08/06/2020,349,4,20,38,113,73,52,31,22,11,9,0,180,169,0,151,7,86,76,14,15,0,0,0,0,0,2,1,1,0,3,1,0,1,1,1,1,0,0,1,6,1,1,6,1,1,3,0,10,10,0,5,0,9,5,1,0
08/18/2020,411,1,25,50,130,79,59,46,22,21,4,0,211,199,1,194,10,66,104,9,28,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,4,7,3,0,3,4,2,0,12,13,0,12,0,9,3,1,0
10/28/2020,1736,9,87,213,461,402,288,192,109,50,21,0,905,823,8,741,47,270,413,74,191,0,0,0,1,2,4,2,0,0,2,7,0,3,0,4,2,0,0,4,8,8,10,14,16,14,13,0,48,39,0,21,2,36,25,3,0
05/22/2021,130,5,30,27,37,15,13,19,10,8,1,0,68,62,0,35,1,55,22,6,11,0,0,1,0,0,2,2,0,0,3,2,0,2,1,2,0,0,0,1,4,5,7,6,4,3,0,0,15,15,0,6,0,17,5,1,1
10/01/2020,364,4,25,50,123,69,41,49,15,15,2,0,177,186,1,162,7,34,108,20,33,0,0,0,0,2,1,1,0,0,1,3,0,2,1,1,0,0,0,1,3,4,2,3,6,4,2,0,13,12,0,11,2,9,1,0,2
03/15/2022,256,0,12,63,65,51,31,24,10,6,6,0,147,109,0,41,15,29,98,15,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,2,1,3,0,9,3,0,4,0,4,3,0,1
06/07/2020,110,20,31,3,29,30,16,13,8,7,4,0,53,57,0,49,4,27,12,2,16,0,0,1,2,1,8,1,7,0,7,13,0,10,0,8,2,0,0,0,6,6,5,5,4,5,0,0,18,13,0,16,2,10,1,1,1
12/04/2021,611,4,62,124,150,124,68,67,37,21,20,0,331,278,2,116,22,147,178,40,108,0,0,0,0,1,2,0,1,0,1,3,0,0,0,3,1,0,0,0,6,8,5,15,7,13,8,0,28,34,0,17,1,26,16,2,0
11/17/2022,466,2,37,93,63,77,49,56,64,34,30,0,274,189,3,108,29,147,107,19,56,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,0,0,0,1,1,2,2,8,4,4,15,0,17,20,0,7,2,17,6,2,3
07/29/2020,446,3,19,56,131,94,68,51,28,12,6,0,233,209,4,189,7,103,103,16,28,0,0,0,1,0,1,0,1,0,2,1,0,1,0,2,0,0,0,1,3,1,8,2,2,1,1,0,7,12,0,8,0,8,2,1,0
04/19/2020,459,35,156,7,66,60,66,75,75,50,60,0,206,253,0,154,20,178,60,20,27,0,0,0,3,7,7,5,13,0,11,24,0,13,2,13,5,2,0,1,12,7,16,36,30,30,24,0,68,88,0,58,6,63,22,7,0
10/11/2020,300,4,30,22,93,59,43,37,30,9,7,0,125,174,1,96,6,57,114,11,16,0,0,0,0,1,1,0,2,0,0,4,0,2,0,1,1,0,0,0,2,4,6,4,6,4,4,0,12,18,0,9,1,6,10,2,2
11/02/2022,533,0,30,101,105,87,74,73,47,19,27,0,318,213,2,117,42,192,104,29,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,2,7,3,7,0,15,15,0,6,1,18,4,0,1
03/18/2021,423,3,29,55,168,78,53,39,22,3,5,0,202,218,3,86,15,95,177,14,36,0,0,0,0,1,0,0,2,0,2,1,0,1,1,1,0,0,0,2,5,3,4,3,10,1,1,0,15,14,0,3,1,15,6,4,0
11/26/2022,346,0,42,36,51,55,48,39,51,34,32,0,173,171,2,80,10,120,71,13,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,4,7,9,10,0,21,21,0,10,0,24,8,0,0
07/14/2021,139,2,6,24,44,32,15,13,9,1,1,0,73,65,1,13,7,49,49,6,15,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,1,0,0,0,1,0,2,1,2,0,0,0,4,2,0,0,1,5,0,0,0
08/13/2022,450,1,30,53,82,85,61,63,55,29,22,0,259,188,3,119,28,143,85,16,59,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,1,3,5,8,3,8,0,15,15,0,5,1,13,8,3,0
05/01/2021,352,4,43,63,71,67,58,41,36,11,5,0,184,168,0,70,19,157,72,6,28,0,0,0,0,0,0,1,3,0,1,3,0,2,0,2,0,0,0,1,7,4,9,7,10,3,2,0,26,17,0,11,0,24,7,1,0
12/24/2020,619,21,48,69,128,128,83,84,66,32,29,0,303,311,5,169,29,113,202,29,77,0,0,0,0,0,7,5,9,0,8,13,0,6,2,9,4,0,0,2,0,3,8,6,9,8,12,0,22,26,0,15,3,17,12,1,0
08/02/2021,474,3,15,65,138,114,74,40,27,12,4,0,251,222,1,114,23,117,123,17,80,0,0,1,0,1,0,0,1,0,1,2,0,0,0,3,0,0,0,0,2,1,1,4,2,3,2,0,12,3,0,2,0,11,2,0,0
10/17/2020,547,5,44,70,139,115,95,58,45,15,10,0,275,272,0,234,16,76,151,25,45,0,0,0,1,0,1,0,3,0,2,3,0,3,0,2,0,0,0,2,7,4,5,4,9,6,7,0,31,13,0,15,2,19,7,1,0
12/25/2020,160,21,66,8,33,24,20,16,21,17,21,0,75,84,1,42,10,49,35,13,11,0,0,1,0,2,7,4,7,0,6,15,0,8,0,5,8,0,0,0,4,7,7,8,14,11,15,0,35,31,0,27,2,24,12,1,0
03/25/2021,676,3,33,75,243,160,82,59,35,17,5,0,309,367,0,157,24,134,265,32,64,0,0,0,1,0,1,0,1,0,1,2,0,1,0,1,1,0,0,1,2,4,5,6,9,5,1,0,12,21,0,7,0,17,8,1,0
12/10/2022,331,0,64,39,43,61,58,32,44,26,28,0,198,133,0,68,20,98,91,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,6,8,11,14,14,0,39,25,0,9,4,30,16,2,3
04/24/2020,1074,54,162,30,177,172,186,188,158,74,89,0,516,558,0,472,33,261,161,49,98,0,1,2,0,6,12,15,18,0,19,35,0,14,2,22,16,0,0,3,4,22,16,32,39,24,22,0,75,87,0,69,3,59,24,7,0
03/04/2023,188,0,22,33,22,26,23,30,20,16,18,0,116,70,2,39,16,60,39,8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,2,3,4,6,0,12,10,0,6,1,5,6,3,1
01/10/2021,495,18,57,62,121,93,77,64,40,23,15,0,258,233,4,128,24,96,180,25,42,0,0,1,0,1,2,7,7,0,6,12,0,5,1,4,8,0,0,0,7,2,11,6,12,8,11,0,31,26,0,20,3,18,13,3,0
